,LavatoryID,Description,City,Street,PostalCode,Country,Longitude,Latitude,isOwnedByWall,isHandicappedAccessible,Price,canBePayedWithCoins,canBePayedInApp,canBePayedWithNFC,hasChangingTable,LabelID,hasUrinal,address,timings,opening_hour,closing_hour,opening_hours
169,Wall_122586,"Wall CT, Wittenbergplatz, Ansbacher Str.",Berlin,"Wittenbergplatz, Ansbacher Str. ggü. 24 (0-24 Uhr)",10789,Deutschland,"13,3427270609067","52,5024676291825",Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,No,"Wittenbergplatz, Ansbacher Str. ggü. 24 ",0-24,0,24,0:00-24:00
170,Wall_122587,"Wall CT, Mariendorfer Damm",Berlin,Mariendorfer Damm 90 (0-24 Uhr),12109,Deutschland,"13,3856663883506","52,4443831917401",Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,Yes,Mariendorfer Damm 90 ,0-24,0,24,0:00-24:00
171,Wall_122588,"Wall CT, S-u. U-Bhf. Tempelhof, Tempelhofer Damm",Berlin,"S-u. U-Bhf. Tempelhof, Tempelhofer Damm 108 (0-24 Uhr)",12099,Deutschland,"13,385392","52,470273",Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,No,"S-u. U-Bhf. Tempelhof, Tempelhofer Damm 108 ",0-24,0,24,0:00-24:00
172,Wall_122589,"Wall CT, Klausenerplatz",Berlin,Klausenerplatz ggü. 23 (0-24 Uhr),14059,Deutschland,"13,290356505","52,51879627",Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,Yes,Klausenerplatz ggü. 23 ,0-24,0,24,0:00-24:00
173,Wall_122590,"Wall CT, Hans-Rosenthal-Platz , Kufsteiner Str.",Berlin,"Hans-Rosenthal-Platz , Kufsteiner Str.   (0-24 Uhr)",10825,Deutschland,"13,33693","52,480497",Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,Yes,"Hans-Rosenthal-Platz , Kufsteiner Str.   ",0-24,0,24,0:00-24:00
174,Wall_122608,"Wall CT, Trakehner Allee",Berlin,Trakehner Allee vor ggü. 3 (0-24 Uhr),14053,Deutschland,"13,2434255789804","52,512951358555",Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,No,Trakehner Allee vor ggü. 3 ,0-24,0,24,0:00-24:00
175,Wall_122609,"Wall CT, Olympischer Platz",Berlin,Olympischer Platz 6 (0-24 Uhr),14053,Deutschland,"13,2443537242179","52,5155974505231",Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,No,Olympischer Platz 6 ,0-24,0,24,0:00-24:00
176,Wall_122610,"Wall CT, Trakehner Allee",Berlin,Trakehner Allee hinter ggü. 7 (0-24 Uhr),14053,Deutschland,"13,240826986444","52,5121956483398",Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,No,Trakehner Allee hinter ggü. 7 ,0-24,0,24,0:00-24:00
177,Wall_122611,"Wall CT, Jesse-Owens-Allee",Berlin,Jesse-Owens-Allee vor ggü. 2 (0-24 Uhr),14053,Deutschland,"13,2368291260182","52,5106228525806",Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,No,Jesse-Owens-Allee vor ggü. 2 ,0-24,0,24,0:00-24:00
178,Wall_122631,"Wall CT, Siegfriedstr.",Berlin,Siegfriedstr. ggü. 23 (0-24 Uhr),12051,Deutschland,"13,4314583180754","52,4678621065571",Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,Yes,Siegfriedstr. ggü. 23 ,0-24,0,24,0:00-24:00
