,LavatoryID,Description,City,Street,opening_hours,street_address,PostalCode,Country,Longitude,Latitude,isOwnedByWall,isHandicappedAccessible,Price,canBePayedWithCoins,canBePayedInApp,canBePayedWithNFC,hasChangingTable,LabelID,hasUrinal,ratings,Comments
78,Wall_120230,"Wall CT, Eberbacher Str.",Berlin,Eberbacher Str. 24 (0-24 Uhr),0:00-24:00,Eberbacher Str. 24 ,14197,Deutschland,13.3092685301689,52.473324575463,Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,No,19,
179,Wall_122815,"Wall CT, Büsingstr.",Berlin,Büsingstr. ggü. 2 (0-24 Uhr),0:00-24:00,Büsingstr. ggü. 2 ,12161,Deutschland,13.3261596400353,52.4656852997629,Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,No,19,
100,Wall_120738,"Wall CT, Hermannplatz",Berlin,Hermannplatz 9 (0-24 Uhr),0:00-24:00,Hermannplatz 9 ,10967,Deutschland,13.4252979899,52.4876315049,Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,No,19,
63,Wall_120210,"Wall CT, Dürerplatz",Berlin,Dürerplatz 5 (0-24 Uhr),0:00-24:00,Dürerplatz 5 ,12157,Deutschland,13.3415016338287,52.4695434114471,Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,No,19,
82,Wall_120446,"Wall CT, Breitenbachplatz",Berlin,Breitenbachplatz 8 (0-24 Uhr),0:00-24:00,Breitenbachplatz 8 ,14195,Deutschland,13.3086648230217,52.4672367895227,Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,No,19,
370,Fremd_126,Toilette Rotes Rathaus,Berlin,Rotes Rathaus,,Rotes Rathaus,10178 ,Deutschland,13.40631,52.51849,No,No,"0,50",Yes,No,No,Yes,Toilette nicht von Wall,No,19,
196,Wall_123032,"Wall CT, Senftenberger Ring",Berlin,Senftenberger Ring   (0-24 Uhr),0:00-24:00,Senftenberger Ring   ,13439,Deutschland,13.353790066078,52.5996651754162,Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,No,19,
103,Wall_120741,"Wall CT, Rudower Chaussee",Berlin,Rudower Chaussee 1-3 (0-24 Uhr),0:00-24:00,Rudower Chaussee 1-3 ,12489,Deutschland,13.53926,52.43443,Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,No,19,
163,Wall_122583,"Wall CT, An der Werderlake",Berlin,An der Werderlake   (0-24 Uhr),0:00-24:00,An der Werderlake   ,12355,Deutschland,13.5166011055646,52.4200935571602,Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,No,19,
94,Wall_120497,"Wall CT, S-Bhf. Karlshorst, Stolzenfelsstr.",Berlin,"S-Bhf. Karlshorst, Stolzenfelsstr.   (0-24 Uhr)",0:00-24:00,"S-Bhf. Karlshorst, Stolzenfelsstr.   ",10318,Deutschland,13.5260174309,52.4813251482,Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,No,19,
410,Fremd_163,"Toilette Rathaus Tempelhof, Tempelhofer Damm 165",Berlin,"Rathaus Tempelhof, Tempelhofer Damm 165",,"Rathaus Tempelhof, Tempelhofer Damm 165",12099,Deutschland,13.386006542689,52.4624469506412,No,Yes,"0,00",No,No,No,No/Unknown,Toilette nicht von Wall,No,18,
164,Wall_122584,"Wall CT, S-Bhf. Plänterwald, Bahnhofsvorplatz",Berlin,"S-Bhf. Plänterwald, Bahnhofsvorplatz   (0-24 Uhr)",0:00-24:00,"S-Bhf. Plänterwald, Bahnhofsvorplatz   ",12435,Deutschland,13.4739695463681,52.4787140672384,Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,Yes,18,
250,Wall_123871,"Wall CT, Nettelbeckplatz, Gerichtstr.",Berlin,"Nettelbeckplatz, Gerichtstr. 31 (0-24 Uhr)",0:00-24:00,"Nettelbeckplatz, Gerichtstr. 31 ",13347,Deutschland,13.3685793952837,52.5448781562188,Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,Yes,18,
270,Wall_124383,"Wall CT, Soldiner Str.",Berlin,Soldiner Str. 77 (0-24 Uhr),0:00-24:00,Soldiner Str. 77 ,13359,Deutschland,13.3836397747329,52.559323179666,Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,Yes,18,
404,Fremd_158,"Toilette Rathaus Schöneberg,  John-F.-Kennedy-Platz",Berlin,"Rathaus Schöneberg,  John-F.-Kennedy-Platz",,"Rathaus Schöneberg,  John-F.-Kennedy-Platz",10825,Deutschland,13.3440246979359,52.4847988958708,No,Yes,"0,00",No,No,No,No/Unknown,Toilette nicht von Wall,No,18,
55,Wall_120191,"Wall CT, Erich-Steinfurth-Str.",Berlin,Erich-Steinfurth-Str.   (0-24 Uhr),0:00-24:00,Erich-Steinfurth-Str.   ,10243,Deutschland,13.4345572862,52.5114773654,Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,Yes,18,
130,Wall_121092,"Wall CT, Wichertstr.",Berlin,Wichertstr. 43 (0-24 Uhr),0:00-24:00,Wichertstr. 43 ,10439,Deutschland,13.42732495,52.5458669801,Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,Yes,18,
261,Wall_124025,"Wall CT, Böcklerpark, Prinzenstr.",Berlin,"Böcklerpark, Prinzenstr. 1  (0-24 Uhr)",0:00-24:00,"Böcklerpark, Prinzenstr. 1  ",10969,Deutschland,13.4067533804192,52.4967185513892,Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,Yes,18,
